,Posición,Título,Año,Duración,Rating
168,172, Del revés (Inside Out),2015,1h 35m,"8,1"
169,173, Atrápame si puedes,2002,2h 21m,"8,1"
170,174, Tres anuncios en las afueras,2017,1h 55m,"8,1"
171,175, Trainspotting,1996,1h 33m,"8,1"
172,176, El puente sobre el río Kwai,1957,2h 41m,"8,1"
173,177, Harry Potter y las Reliquias de la Muerte: Parte 2,2011,2h 10m,"8,1"
174,178, Toro salvaje,1980,2h 9m,"8,1"
175,179, Fargo,1996,1h 38m,"8,1"
176,180, Warrior,2011,2h 20m,"8,1"
177,181, Robot salvaje,2024,1h 42m,"8,2"
178,182, El club de los poetas muertos,1989,2h 8m,"8,1"
179,183, Million Dollar Baby,2004,2h 12m,"8,1"
180,184, Ben-Hur,1959,3h 32m,"8,1"
181,185, Mad Max: Furia en la carretera,2015,2h,"8,1"
182,186, Barry Lyndon,1975,3h 5m,"8,1"
183,187, Gran Torino,2008,1h 56m,"8,1"
184,188, Mi vecino Totoro,1988,1h 26m,"8,1"
185,189, Hasta el último hombre (Hacksaw Ridge),2016,2h 19m,"8,1"
186,190, Children of Heaven,1997,1h 29m,"8,2"
187,191, El gran hotel Budapest,2014,1h 39m,"8,1"
188,192, 12 años de esclavitud,2013,2h 14m,"8,1"
189,193, Antes de amanecer,1995,1h 41m,"8,1"
190,194, Blade Runner,1982,1h 57m,"8,1"
191,195, Spider-Man: No Way Home,2021,2h 28m,"8,2"
192,196, Memories of Murder (Crónica de un asesino en serie),2003,2h 11m,"8,1"
193,197, Ratatouille,2007,1h 51m,"8,1"
194,198, Cómo entrenar a tu dragón,2010,1h 38m,"8,1"
195,199, Perdida,2014,2h 29m,"8,1"
196,201, Tiburón,1975,2h 4m,"8,1"
197,202, En el nombre del padre,1993,2h 13m,"8,1"
198,203, Le Mans '66,2019,2h 32m,"8,1"
199,204, Relatos salvajes,2014,2h 2m,"8,1"
200,205, La quimera del oro,1925,1h 35m,"8,1"
